,Unnamed: 0,song_id,song_length,genre_ids,artist_name,composer,lyricist,language
36,40,rROMT82SXqm75Bg9z2nasTyLeijLL+auKesP1D8wtKg=,238132,['465'],['Jennifer Lopez'],"['Jennifer Lopez', ' Makeba Riddick', ' James Todd Smith', ' David McPherson', ' Curtis Richardson', ' Ron G', ' William Jeffrey', ' Lisa Peters']","['Jennifer Lopez', ' Makeba Riddick', ' James Todd Smith', ' David McPherson', ' Curtis Richardson', ' Ron G', ' William Jeffrey', ' Lisa Peters']",52.0
42,48,wmeUpAliTJjUpJuK9+2Q+Fx1LMCtFNMf0Xe2n2Ra3Ow=,283541,['465'],['George Michael'],['George Michael'],['George Michael'],52.0
53,59,syISxjePN8fOHZ38HZUUVpXckewzL6bDrlPt04qls6E=,252238,['2022'],['Joonil Jung'],['Joonil Jung'],['Joonil Jung'],31.0
55,61,rZKiSbfRwS4YlebeFwPIw1udwob314tVTioIZYRWxnE=,193707,['921'],['Various Artists'],"['Daniel Caesar', ' Ludwig Lindell', ' Olof Lindskog', ' Shi-Zhen Xu', ' Hui-Fu Wu']","['Daniel Caesar', ' Ludwig Lindell', ' Olof Lindskog', ' Shi-Zhen Xu', ' Hui-Fu Wu']",52.0
58,64,S4Vz9f3JarUEu2zk6XQmlnSV2Nb27XP2y/DpdWEcOb4=,200489,"['1616', '1609']",['John Gibbons'],"['Mick Leeson', ' Peter Benson Vale']","['Mick Leeson', ' Peter Benson Vale']",52.0
59,65,0F6yN1Gxu+Lp+ZGpudIPA44jw71d4N2oUBb1l9GL7BY=,200310,['139'],['Bryson Tiller'],"['Bryson Tiller', ' Isom Brandon Stewart', ' Tavoris Hollins', ' Jr.', ' Mariah Carey', ' Stuart Lowery', ' Jermaine Dupri', ' Bryan-Michael Cox', ' Johntá Austin']","['Bryson Tiller', ' Isom Brandon Stewart', ' Tavoris Hollins', ' Jr.', ' Mariah Carey', ' Stuart Lowery', ' Jermaine Dupri', ' Bryan-Michael Cox', ' Johntá Austin']",52.0
60,66,8igD+CBE5dW1WSrGeuNwXaNyIzvEL48xrkTwK7hTGhQ=,289410,['139'],['Whitney Houston'],"['George Merrill', ' Shannon Rubicam']","['George Merrill', ' Shannon Rubicam']",52.0
65,71,rv8Ifo0Pw+5jWlCrtMTf4OpXQNzw6qb+PZADXMWn8ZY=,223904,['465'],['Various Artists'],['Eui Suk Kim'],['Kab Won Choi'],31.0
68,74,kpovPWcBO4BmmN3qx76VS6XfjI3XY16cKyjcBeLXWe4=,189103,['465'],['Kelly Clarkson'],"['Kelly Clarkson', ' Chantal Kreviazuk', ' Raine Maida', ' Kara DioGuardi']","['Kelly Clarkson', ' Chantal Kreviazuk', ' Raine Maida', ' Kara DioGuardi']",52.0
69,75,FUOVT54JsthHASHMs3fyC3JzD60S1f/rQUk78j6YhIM=,212427,['465'],['Avril Lavigne'],"['Avril Lavigne', ' Don Gilmore', ' Ben Moody']",['Avril Lavigne'],52.0
70,76,2lXPO2x7xQPzRIKL0HTJ9eX4dIM5Byu6Kk0YmqzOrck=,248829,['465'],['Walk Off The Earth'],['Walter De Backer'],['Walter De Backer'],52.0
72,78,yhKCvbEs897hD7QIXd2eIRNdL+TwNownCIuyY7xWmGQ=,263546,['465'],['Various Artists'],['Chen Ke Yu'],['Xiao Han'],3.0
74,81,y1BuZNay8StbLld5vIflJFRlcxTI2UDgfk6hQugXmKE=,178347,['465'],['Meghan Trainor'],"['Meghan Trainor', 'Kevin Kadish']","['Meghan Trainor', 'Kevin Kadish']",52.0
76,83,qK1O9r/NvutMBdDOEiaBr/Kq3gJAvbeQGhP2/8oowRQ=,274870,['139'],['Chris Brown'],['Chris Brown'],['Chris Brown'],52.0
78,85,EZu1GW9dXFYZ1oo5CTmS6SD0sHy7CCsjfbhJcHQg4oE=,204460,['465'],['Britney Spears'],"['Ian Kirkpatrick', ' Simon Wilcox', ' Chantal Kreviazuk']","['Ian Kirkpatrick', ' Simon Wilcox', ' Chantal Kreviazuk']",52.0
79,86,gYyJwjhoNI7mq/Bw1+Ls+73+F5YOPGlEKmnljI1w1sM=,196241,['465'],['Britney Spears'],"['Britney Spears', ' Cathy Dennis', ' Henrik Jonback', ' Christian Karlsson', ' Rich Tapper', ' Pontus Winnberg']","['Britney Spears', ' Cathy Dennis', ' Henrik Jonback', ' Christian Karlsson', ' Rich Tapper', ' Pontus Winnberg']",52.0
80,87,UM5K+g04+9t1SULpbhMfEunp6bS/5AdIQs7FbDqmmBY=,167026,['359'],['Death Cab for Cutie'],['Benjamin Gibbard'],['Benjamin Gibbard'],52.0
81,88,wnEbAXuu95u0420wRKkELG7xC4TR+TXEmfvrMckRV4M=,214204,['921'],"['Sing Again', ' Hera Gu OST']",['IM KI HOON'],['KIM JIN MAN'],31.0
82,89,oR83SI/jbIt1f25TGQOAYQvxm/GEpsD4wCF1E9nszwQ=,195587,['465'],['Michael Jackson'],['Michael Jackson'],['Michael Jackson'],52.0
84,91,RSezVdvlZ3nAMOwqswOGqUYtDkmFK+nQKukUqdkXECU=,205557,['409'],['La légende du Roi Arthur'],"['Dove Attia', ' Silvio Lisbonne', ' Skread', ' Rodrigue Janois', ' Zaho']",['Vincent Baguian'],52.0
90,99,fYtxBCGZ5G7fsaTyU6Ho2wVZqtkAYJGo070vPkoJuFA=,200890,['465'],['CRAYON POP'],['Dumb & Dumber'],['Dumb & Dumber'],31.0
92,102,QswCi3SQ8Pvh1PokvFVjBqbImP6vOSYOA7ziz97APCM=,199297,['2122'],['Charlie Parker'],"['Vernon Duke', 'E.Y. Harbourg', 'V. Duke']","['Vernon Duke', 'E.Y. Harbourg', 'V. Duke']",-1.0
94,104,ZoxGtII4/BAIQ2Eqck8AnNuUxe6yb3tfZTf037dtkqQ=,177539,"['465', '921']",['Various Artists'],['Tom Jones/Harvey Schmidt'],['Tom Jones/Harvey Schmidt'],3.0
95,105,Fm/sI4QuDQIgotZsfUE6GEPYIUUPknyyqODCBGLi2wY=,159895,['139'],['Alicia Keys'],"['Alicia Keys', ' Mark Batson', ' Harold Lilly', ' Shawn Martin']","['Alicia Keys', ' Mark Batson', ' Harold Lilly', ' Shawn Martin']",52.0
96,106,elXZiLxX7MEfwWrUEr33feuW8dXzdkIalsMMVxmFMyc=,206843,"['139', '125', '109']",['Yvonne Catterfeld'],['Lukas Hilbert'],['Lukas Hilbert'],52.0
105,117,glqWN90JjZ6rnPwOKYatAicupEoqn1Iy99jx16mGqls=,209330,['1011'],['Carrie Underwood'],['Jason White'],['Jason White'],52.0
107,119,Krbcja9SoQ/tAlUyJj9ItOYIBBHxDRLUKfyWxOwGPSg=,273136,['465'],['Dear Jane'],['Khalil Fong'],['Wyman Wong'],24.0
112,125,p0vznXPDpqFXtJzcvx4f9NxqLDC+1PQ9/Prr8kUdSuc=,161149,['1609'],['The Chainsmokers'],"['Andrew Taggart', ' Shaun Frank', ' Frederic Kennett', ' Ashley Frangipane', ' Isaac Slade', ' Joseph King']","['Andrew Taggart', ' Shaun Frank', ' Frederic Kennett', ' Ashley Frangipane', ' Isaac Slade', ' Joseph King']",52.0
113,126,3T/0nmbEMYJ9VRSvkhICnJHbjcaJwrZEwoQDFL0mgKI=,204209,['465'],['LunchMoney Lewis'],"['Gamal Lewis', ' Eric Frederic', ' Jacob Kasher Hindlin', ' Rickard Göransson']","['Gamal Lewis', ' Eric Frederic', ' Jacob Kasher Hindlin', ' Rickard Göransson']",52.0
114,127,AOnmJdRuWhi/QyIyrNuyFpbvqDp2VGUfoqhSY7e9I+Y=,243304,['444'],['AKDONG MUSICIAN (AKMU)'],['Lee Chan Hyuk'],['Lee Chan Hyuk'],31.0
115,128,Ry7rgMUuKpMsSXCInJurZAEH+z1tTDWrHDfcP0E9X8Y=,187542,['465'],['One Direction'],"['Liam Payne', 'John Ryan', 'Julian Bunetta', 'Louis Tomlinson', 'Ed Drewett', 'Wayne Hector']","['Liam Payne', 'John Ryan', 'Julian Bunetta', 'Louis Tomlinson', 'Ed Drewett', 'Wayne Hector']",52.0
117,130,vdVuvfEIFUbRQ7Y0mK67mpAp9TobPFLaQOmJ1NtkXyo=,221413,['921'],['Various Artists'],['Noh Kyungbo'],['Noh Kyungbo'],31.0
119,132,aeOifznSOpfhinNr3RJl29omc3HGrdMgiI8jdrxYpsw=,232917,['465'],['Anders Nilsen'],['Anders Nilsen'],['Anders Nilsen'],52.0
120,133,DhqllH+PXw3Fe1xHw6cEmLW5b0Rw8qIr2kktkJPgxvc=,257043,['465'],['May J.'],['SAEKI youthK (RzC)'],['May J.'],17.0
121,134,tEN1gWnbXO1iZ/XdkLsDzMfrt4H4qU5YAIUauZhw2Cg=,213002,['1259'],['DJ Katch'],"['Christoph Bauss', ' Fridolin Walcher', ' John W. Bowman Jr.', ' Katch22']","['Christoph Bauss', ' Fridolin Walcher', ' John W. Bowman Jr.', ' Katch22']",52.0
122,135,QLrBN4RQnP2vQQmIf1SMicvJfnU/IMOHAUTRQ3ULVPs=,229705,['465'],['Rita Ora'],"['Chris Brown', 'James Abrahart', 'Balazs Harko', 'Robin Ellingsen', 'Rosina Russell', 'Tinashe Sibanda', 'Marcus Lomax', 'Jordan Johnson', 'Stefan Johnson']","['Chris Brown', 'James Abrahart', 'Balazs Harko', 'Robin Ellingsen', 'Rosina Russell', 'Tinashe Sibanda', 'Marcus Lomax', 'Jordan Johnson', 'Stefan Johnson']",52.0
124,137,x992qkCeLSrXRBORn40IC7oT9n2ieqSvO5OqkdeTZ/8=,183275,['465'],['Meghan Trainor'],"['Meghan Trainor', ' Kevin Kadish', ' Eric Frederic']","['Meghan Trainor', ' Kevin Kadish', ' Eric Frederic']",52.0
125,138,9LMgCyNquWehRsW0KNk3gwd0LhtNrqS0qZ/yq/66g/E=,258768,['1609'],['Calvin Harris'],"['Calvin Harris', ' Nils Sjöberg']","['Calvin Harris', ' Nils Sjöberg']",52.0
126,139,VnGHosn0rEjmodvkTtoMExrsB9Pg+CMEWhi+aKL92Ik=,199845,['465'],['One Direction'],"['Julian Bunetta', ' John Ryan', ' Louis Tomlinson', ' Liam Payne', ' Ruth Anne Cunningham', ' Jamie Scott']","['Julian Bunetta', ' John Ryan', ' Louis Tomlinson', ' Liam Payne', ' Ruth Anne Cunningham', ' Jamie Scott']",52.0
127,140,fPSZlAmM92B/NY5m7Mxy2ocWl0bFmFysQTC9/ela2sU=,284447,['1609'],['David Guetta'],"['D. Guetta', ' G. Tuinfort', ' K. Carlsson', ' M. van Wattum', ' N. Rotteveel']",['S. Furler'],52.0
128,141,jOICnMV1PPWHqAVOv+Z3tqjZYwgbRy/r+vFzRzA6qNk=,256767,['359'],['Lower Dens'],"['Jana Hunter', ' Arthur Bates', ' Ariel Rechtshaid']","['Jana Hunter', ' Arthur Bates', ' Ariel Rechtshaid']",52.0
129,142,ArSHN71uDWo9h1gijLxPivyenf9V0K6cdpCKIOkhY9o=,191973,['465'],['Jason Mraz'],['Jason Mraz'],"['Jason Mraz', ' Billy Galewood']",52.0
130,143,0shDp6CbvfPfjEolWgxote3PYjvCQaKRhhh0mIb4Q4w=,218261,['465'],['Betty Who'],"['Jessica Newham', 'Peter Thomas', 'Marco Borrero']","['Jessica Newham', 'Peter Thomas', 'Marco Borrero']",52.0
132,145,KkuXbM1RN57oD+XkG9q+wDqO2bikQdE9KhkT3FNGXz4=,181507,['465'],['Michele Bravi'],['Roland Orzabal'],['Roland Orzabal'],52.0
133,146,4r8F7R6DHaw513CMZzOsy8Bt8cK1n5kdvGYPz4dxlWI=,236355,"['139', '125', '109']",['Richard Parkers'],['Richard Parkers'],['Richard Parkers'],31.0
137,151,1Mo6iLii4Fm2UCwIHbu8CfL/Ke3Uc92SR3otJMFNfWA=,243513,['465'],['Jason Mraz'],['Jason Mraz'],['Jason Mraz'],52.0
138,152,+GwM5JtoljLJjvDOoiBXdejhfDMfO4tnr62cXEDqIiY=,219698,['465'],['Phoebe Ryan'],"['Phoebe Ryan', ' Kyle Shearer', ' Nate Campany']","['Phoebe Ryan', ' Kyle Shearer', ' Nate Campany']",52.0
140,155,cby50++6ElS6MHs4HPLSdEWdyLGcBWtArdk4YqIexmo=,262400,['2022'],['Green Day'],['Green Day'],['Billie Joe Armstrong'],52.0
141,156,r9B/eL87cTNlHB2aLf1gS9NJ2MldR7kkHcLVEI0kQps=,209676,['465'],['Backstreet Boys'],"['Kristian Lundin', ' Andreas Carlsson']","['Kristian Lundin', ' Andreas Carlsson']",52.0
142,157,3avE4pF5sRreE0QBuzsxIKGyQKN2r8zIh45inwp+njc=,245942,['1609'],['The Chainsmokers'],"['Andrew Taggart', ' Emily Warren', ' Scott Harris']","['Andrew Taggart', ' Emily Warren', ' Scott Harris']",52.0
144,160,w8OjWO2ChMKyzsIl2xGonO+l2wYFWMjJaXsFbEUhaVM=,249077,['423'],['Ricky Martin'],"['Ricky Martin', ' Lars ""ChiefOne"" Pedersen', ' Carl Ryden', ' Justin Stein', ' Nermin Harambasic', ' Ronny Vidar Svendsen', ' Anne Judith Stokke Wik', ' Ricky Montaner', ' Mauricio Montaner']","['Ricky Martin', ' Lars ""ChiefOne"" Pedersen', ' Carl Ryden', ' Justin Stein', ' Nermin Harambasic', ' Ronny Vidar Svendsen', ' Anne Judith Stokke Wik', ' Ricky Montaner', ' Mauricio Montaner']",52.0
146,162,EOj14fJwrrSuxop5K5NOTkTEzxtynSymvhJu/MQX7v8=,247100,['437'],['MAN WITH A MISSION'],['Kamikaze Boy'],"['Kamikaze Boy', ' Jean-Ken Johnny']",17.0
148,164,FIcAb/zbX8O+ALlkrnTbBtvpmsKjTUBizgEN99NG+dc=,230643,['444'],['Seul Ong'],"['Seul Ong', 'Min Lee Collapsedone']",['Seul Ong'],31.0
150,166,B0aQzwXmKzFeDrSyts1RaXGV6oq0qAXyRDPDaAxTBD0=,230591,['465'],['Lea Michele'],"['Colin Munroe', 'Jaden Michaels', 'Anne Preven']","['Colin Munroe', 'Jaden Michaels', 'Anne Preven']",52.0
153,169,FPWeOEwMwVErZBOgRbSZW3a6reNToo5hwMDkrF/UdM4=,284583,['1011'],['Brad Paisley'],"['Brad Paisley', ' Chris DuBois', ' Luke Laird']","['Brad Paisley', ' Chris DuBois', ' Luke Laird']",52.0
158,175,rz21IXiXEVJAblR8F3FLyRhOfw9U4wXGXvote0q4pac=,256731,['465'],['Various Artists'],"['Lee Sanggon ', ' Wasabii Sound']",['Lee Sanggon'],31.0
163,182,xXgLd94o+bBj7AxEGnXMxTsy3Hl0n5ff5JK5CeCytfc=,233534,['465'],['JUNG YONG HWA'],"['Jung Young Hwa', ' Two Face']",['Jung Young Hwa'],31.0
166,185,vqj7wtFz+Mg3WRNMP1mvIf2/vmGD+gdlch8UAlyuGXk=,242181,['2022'],['Bee Gees'],"['B. Gibb', ' B. Glibb', ' B.Gibb/ M.Gibb/ R.Gibb', ' Barry Gibb', ' M. Gibb', ' Maurice Gibb', ' R. Gibb', ' R.Gibb and M. Gibb', ' Robin Gibb']","['B. Glibb', ' R.Gibb and M. Gibb']",52.0
167,186,1DMxFSHV4mgpuZWRcMRvwgM7ukAww++xQEEn3zEsloI=,253143,['2122'],['Norah Jones'],['Jesse Harris'],['Jesse Harris'],-1.0
169,188,jEQYez4sMz1E4G2DTaj7eZ5Hm0NoLu5epkdYxoA7mtU=,228989,['359'],['Anya Marina'],"['C. Harris', ' D. Siegel', ' Dan Balan', ' J. Scheffer', ' J. Smith', ' K.V. Washington', ' M. Humphrey', ' Makeba', ' T. Dillard', ' T. Pain']","['Dan Balan', ' J. Smith', ' M. Humphrey', ' Makeba', ' T. Dillard', ' T. Pain']",52.0
170,189,rPkmnWWUiLqYtASUDVunz57uspfcraCUByE8QENz6cM=,237307,['109'],['Renegades Of Jazz'],['Copyright Control'],['Chima Anya'],52.0
171,190,AVNhbzKKMxN5mfLQ4kzhYfPQdYiePgaV0ztb1JQ7Xxc=,297540,['465'],['Mazzy Star'],"['Hope Sandoval', ' David Roback']",['Hope Sandoval'],52.0
172,192,LNQbn5nkeE9+BGxMe1VWSlNUZNDFLKev87U6sRkC3Ww=,228310,['465'],['SUPER JUNIOR'],['Park Chang Hyun'],['Park Chang Hyun'],31.0
173,193,wS2Cv5sUNDrLjwC/rQJrPioXITiIFvQLysIgWjOXOi4=,223190,['465'],['Han So Hyun'],['Han So Hyun'],['Han So Hyun'],31.0
174,194,KsDvNcVQnNmCbiNdH10zzVKtMAuqm8BSstfts5jyYGs=,254537,['465'],['Jason Mraz'],['Jason Mraz'],['Jason Mraz'],52.0
176,196,KKfUG6bzNrykmcGwv25lUCYgEshSM0RC3B+gO/4l0bg=,172408,['465'],['James Arthur'],"['James Arthur', ' Adam Argyle', ' Andrew Jackson']","['James Arthur', ' Adam Argyle', ' Andrew Jackson']",52.0
177,198,h1Nvd+EUC38ktFetkHupX479Iwcxa0TmdZXr1Rw+GAs=,224130,['921'],['Various Artists'],['Soim Jung'],['Soim Jung'],31.0
179,200,LirZZ+t1dx9TQ4fKEoFxDOSdya29qab3JyUr1jNxWb4=,243408,['1609'],['The Chainsmokers'],"['Andrew Taggart', ' Shaun Frank', ' Frederic Kennett', ' Ashley Frangipane', ' Isaac Slade', ' Joseph King']","['Andrew Taggart', ' Shaun Frank', ' Frederic Kennett', ' Ashley Frangipane', ' Isaac Slade', ' Joseph King']",52.0
180,201,woGMzcQUwjfD1bNHyY2Rqxxg7ozu2kJelvDHP0tPVIY=,205175,['139'],['John Legend'],"['John Stephens', 'James Fauntleroy II', 'Chauncey Hollis', 'Kanye West', 'Sara Bareilles', 'Ingrid Michaelson']","['John Stephens', 'James Fauntleroy II', 'Chauncey Hollis', 'Kanye West', 'Sara Bareilles', 'Ingrid Michaelson']",52.0
181,202,+48nehr229wk5rEhgzdFKKqXa+GLYzbv1jHWNPrQD/k=,308098,['2022'],['John Mayer'],['John Mayer'],['John Mayer'],52.0
185,206,P4l4U4rlU51uIWJWfLo4Fg4FX3/beeIP8sVUAeQ40Ak=,212448,['465'],['Various Artists'],['Jo Dong Jin'],['Jo Dong Jin'],31.0
186,207,uAYNkQlt8wE+2ZBh0yMAPHHj2FTQpT+dGL/hgVRwTKc=,150906,['359'],['Oh Land'],"['Nanna Øland Fabricius', ' Dave McCracken', ' Brian Fallon']","['Nanna Øland Fabricius', ' Dave McCracken', ' Brian Fallon']",-1.0
187,208,CVo/SYIeMleroTmNEv7z9HW8dki8gsjRdKnaNyr4bIk=,191251,"['352', '1995']",['Tonight Alive'],"['Jenna McDougall', 'Whakaio Taahi']","['Jenna McDougall', 'Whakaio Taahi']",52.0
189,210,tSpbUUoiV5NR3MobY2yZlQYD6tjDxYZi9uQCO2aDuFU=,185051,['465'],['Daniel Skye'],"['Daniel Skye', ' Warren Felder', ' Trevor Brown', ' Zaire Koalo', ' Brittany Hazzard', ' Charles Thompson']","['Daniel Skye', ' Warren Felder', ' Trevor Brown', ' Zaire Koalo', ' Brittany Hazzard', ' Charles Thompson']",52.0
190,211,gLLebNux7pSs+WkXFW2Mt2W8ySwQkv4IaaTD34JhUD0=,242270,['465'],['Kenny G'],"['Preston Glass', ' Narada Michael Walden', ' Walter Afanasieff']","['Preston Glass', ' Narada Michael Walden', ' Walter Afanasieff']",52.0
191,212,+mUXEDTy/lp39LzRT896lTT0rf3Nh2iNMVqQ0F+oEww=,221762,['465'],['Prince Royce'],"['Geoffrey Rojas', 'Jason Evigan', 'Ian Kirkpatrick', 'Lindy Robbins']","['Geoffrey Rojas', 'Jason Evigan', 'Ian Kirkpatrick', 'Lindy Robbins']",52.0
192,214,R41mSUWpgeUH0jNRFfWo3mjbBDT3rwMf46CDJc20XEo=,194700,['139'],['Chris Brown'],"['Chris Brown', ' Floyd Bentley', ' Michael Hernández', ' Lyrica Anderson', ' Christopher Dotson', ' Michael Dorsey', ' Bobby Joseph Turner Jr.', ' Caleb Nordelus']","['Chris Brown', ' Floyd Bentley', ' Michael Hernández', ' Lyrica Anderson', ' Christopher Dotson', ' Michael Dorsey', ' Bobby Joseph Turner Jr.', ' Caleb Nordelus']",52.0
194,216,kpjvpcXGv6yrBNFh8vn7JMCXmziH7h+4PVxQUnT7cQo=,254912,['2022'],['The Fray'],"['Malik Jones', 'Shabazz Mescudi', 'Kanye West', 'Ernest Wilson']",['Kanye West'],52.0
195,218,TPeif5wV8NJnU/InUhWlaoICQVh+WIZNeShlSfpP2yE=,246642,['2122'],['Jazz to Soul'],['Catherine Antoine50%'],['Catherine Antoine50%'],-1.0
197,220,f5i8trqxguzacMtElMr05Owv0GFQIux6RTnbwN1alEE=,183546,['465'],['One Direction'],"['Rami Yacoub', 'Savan Kotecha', 'Carl Falk']","['Rami Yacoub', 'Savan Kotecha', 'Carl Falk']",52.0
199,222,3H8PnJeve+Nvz/5SMHtANjAMAqbhpGrP9zNVR7dQxv8=,219360,['465'],['Glee: The Music'],"['Anne Preven', ' Beyoncé Knowles', ' Henry Krieger', ' Scott Cutler']","['Anne Preven', ' Beyoncé Knowles', ' Henry Krieger', ' Scott Cutler']",52.0
207,231,Uw9BzIArf175DwtwBZSfCbgnHtOcsf+DNUhO/RQOR30=,184171,['458'],['Various Artists'],['Naipeng Gou'],['Naipeng Gou'],3.0
215,241,rzNV1cnIgp/1bfcwbeomcnynCtGa2yk0wp5ZHrkeJJk=,192574,['1609'],['David Guetta'],"['David Guetta', ' Giorgio Tuinfort', ' Nick van de Wall']","['Bebe Rexha', ' Nicki Minaj', ' Ester Dean', ' Sean Douglas']",52.0
