,Unnamed: 0,Unnamed: 0.1,msno,city,bd,gender,registered_via,registration_init_time,expiration_date
44,94,214,zrPEmpkTqgl3MmbtKQ6gtmfl5df8Jskl4NC/A6bI6iU=,4,24,male,3,20150502,20170911
45,95,218,K6M81h0IaT5c1b9TND94m5amypw0a0GqFZpL1OvXMaE=,1,18,male,4,20160304,20171124
46,96,227,Ty59+gs+lfVbfm1T/SDqLmbFhtkAP4Mm75uYiaKZ6kk=,13,27,male,7,20150107,20180125
47,99,237,ovdZ39J4RYIDwiHGg4ewQUiYHnxT7ZE3GPECLIUxkqU=,15,26,male,3,20150101,20170519
48,100,238,HJm0vtQoz3SgSQ5twrmwbaPwpTKjNRRBKwdA18toaUM=,15,27,female,3,20120707,20170925
51,105,243,LKgeXrQ/i6LOWZOHrzk1bmWA7OeY1ovF9rmzmgdY46s=,15,22,female,3,20120718,20171028
52,107,248,nGNt0huNRIKmHPJ57BT4I+f7wq1Sr+c2BgdwLiHtL8E=,13,25,male,9,20110520,20171027
53,108,255,gaYdxoXSGQvFL9Uqb6QB7uPxyS/ITYM/TO7nbZd+8nI=,5,26,female,9,20120605,20170918
54,110,258,Fx2ZL4cdzlaxn1WOgqLSPevk0zNqAwidku68yb51Ezw=,4,19,male,7,20150901,20170916
55,111,259,6QrBX5Db60PiwhRCedigyEDt7iuWtSWgOuyE/G+66ZA=,5,24,female,9,20060331,20170926
56,112,261,L+5bpBfapgPhtiVliPhp1Oi1OGyckxtZUxEXGMtlqDE=,5,24,male,3,20130604,20170930
57,113,265,HMl2/E4zA8uRpBjj2nK2j5OHpulW7otTGrLo3ajRbW8=,6,21,female,9,20090329,20171001
58,114,267,U9Z+N+szYGJHTPMn/C0V7yIyIC24fDI0RDRWChXATkg=,13,24,female,7,20160418,20170917
59,115,268,eu2uud5M9aabg1Uu82f4ITjb8lnsa1BXKugfkLov3II=,15,24,male,4,20151011,20171014
60,118,273,MrJNgT9DBXZY3piygTFME0znoMv30sHJPssUQtQUCEU=,4,24,female,3,20130227,20170815
61,120,276,5pKUd5MJ9jU81lD9Fx9IV0emQD7m/PTrKSRx/e2QKlA=,13,23,male,9,20070909,20170922
62,121,279,MwWyxkOSQWBkqmjSB5xZajjPFs5ItHbNXY4qn/AERkw=,10,19,female,9,20101120,20170618
63,122,281,eIXB1Mp6L2zaaxCtzfdG0GL3CnTzsEwhAqI+BrDP0bA=,17,18,male,7,20130525,20170930
64,126,285,EB2/oHHMbHWUsCuS3vjHLknly8hpx+3v6iUyO2URXQI=,22,24,female,4,20151028,20171013
65,128,290,W30MtdCWtu8FZGGZIQ14yT+I0iUxaqEZ3AJPUW3VfYk=,22,22,female,9,20141018,20180406
66,130,294,AEp2lzdXR5cH5yQJNYubd+ARPkEgikRg6rJnQIEogsE=,22,25,male,7,20141216,20170917
67,132,297,i2UvXe+9Oxh2YEX+3gseUScwwORIp1kCi0NXD7tNrew=,4,25,female,7,20121215,20171005
68,134,303,39p7RSZy4eKARnyGFXLvUMFtjl8U6Pb1HS6xkW7InqE=,13,27,male,9,20111124,20170720
69,137,311,py6Klyqzwd88aAUkh7THPWMTsBIV8CwsKxt4WIw+v6w=,18,19,female,9,20111012,20180929
70,138,312,7VzSlva0ZIQfLa6DeqKQ+A8aI7Ym5QITfE/WWxzwfzc=,13,27,male,9,20130626,20170926
71,139,314,OtoN9o6WYB5Ua/K8Dhd3Mlb92ZPdpkCcdXL7wwVMAnU=,16,20,male,7,20160117,20170916
72,140,316,RhMbbakmLxmKkXQ5yYmHvIlhKhcydTqBnXHHz0ZufRc=,5,22,female,3,20130625,20170814
73,144,322,cpmj7XWvLjbG1eVAv266hbAFSKx7FSfFtgLseS5LY4M=,13,23,male,9,20131115,20170320
75,147,333,jIswSil2gcZBbZ+P5isDzqT1JnVv/U8yal1p1UOyUc8=,5,28,female,9,20150130,20171006
76,149,336,kJTiR7qexamZlCyPNrGoRpI17vuswnw0e7kngDAR0x4=,22,23,female,9,20110125,20171004
77,150,338,PINV6dua2qHSWF+RNl9i8o3pi99hih1on5X772MZbQo=,5,25,male,7,20140102,20171006
78,151,340,+boPBM5G5+vAfbO6zTy7A2FrVQyl91aBPGHkQ6ciNYc=,6,23,male,3,20140104,20171012
79,152,342,N9u0iiKsqZYNdmI12834pcyIc7xkifUUHyrb69T0jaU=,13,18,male,3,20150501,20170915
80,154,344,7l3cRaqvcKOps5r0tqsBQJN4uN3D3vl6gLT087QGKWg=,18,25,male,4,20151015,20171030
81,155,350,3UkqFQP6msSDm9XbS2oS6S1SlNuQNz92/JH9YN+uSqI=,6,23,female,7,20160217,20170917
82,156,351,jJvUBT3Qs53VQSQi540tKD5+l7xHeNtL4Gl5InVtA6A=,5,26,male,3,20150110,20170914
85,162,366,rlhKVcKNDKfFd8jOv5+eYsQn6lR6Z17TU75WkKG01Yc=,13,28,male,9,20110309,20170920
88,166,372,1EWkWuqJSss26wISV+DtcTymbIgDFhYNWgqE+AiXmuw=,5,25,male,9,20060712,20171014
89,167,376,UuWRWmcHaRLv5Q7SI1SK+XcBu5LAjo0r/bLDI4VCjLY=,13,21,female,7,20140909,20170617
90,168,377,892TqpArpazJmG65zAcJi/X1MtjyfXS8yvXBSN8SdbE=,6,19,male,3,20141006,20170617
91,170,381,kx3XFPU2Y3Fhlw+5EnimIp/+mMgFvWSExV1bg6PBeKg=,1,25,male,3,20141225,20150101
92,171,387,1ApU854LiOZXLOd2TIjleUShyeJWGqhItxaVBzPlQMU=,14,18,female,9,20161130,20170918
94,178,400,kYs78L5/9UPzEUgkvGdTHp1QTBdC/WCX67b48SGdBZ4=,13,21,female,9,20111120,20170714
95,182,407,B7h2cLrN4mDgYLEVoLG4iyvPekN6bme2B+1eGXOqHzY=,5,19,male,4,20161211,20171001
99,190,424,UFcuNKrdpC5WYOsrjjZRVUUoAL0wf1GUzmRyUV0Uq20=,4,24,male,9,20130419,20180115
100,191,426,CpJvTEKW2m4dZzyDHWcP5S57RZoR7OUwdWmC+ujEOtM=,13,27,male,9,20131217,20170919
102,193,430,KkPIBceGSyv832hTJMiuaBsIF+B11YSa5R84NugeffM=,15,20,male,3,20150708,20170915
104,195,432,T61ImDLmkF/b0rQqsVX2s/crJp3yaiioz9zgSCDnarM=,5,23,female,9,20141002,20171024
105,198,439,9pHTC0pjy4T82Fe7cgn+lspgGLxNBNQ351d3bUy7r6Y=,4,25,female,3,20120802,20171010
106,205,454,lQWlDpvSuxH3HGxqp8v3B71Du6GYBgnF+FMPPuU4ulk=,14,18,female,4,20170125,20170129
107,210,463,uEhT4FHNuiJIq27C+uRCkIBfzlKEohx0K9kkstUiCps=,13,19,male,9,20150619,20180217
108,211,464,SlRse8pAB6zr7BhFvs49v+fIweKtx+NZFFQ8+kSxZmc=,4,26,male,4,20160304,20170123
109,212,466,bJ1a/UQxdrNsUSM5ggKadb5XIjhoNEGwcnxgoZefr2I=,4,26,female,3,20120801,20171005
110,213,467,A5m31zr/wKZqrZV3OEHbCj796MiOdU7a0NoEgGPpclg=,4,28,female,9,20130806,20170112
111,214,468,GaHgJKbfmHlv68gyFmDP1RhnYl2hhUQ1G+89S0Pzb0w=,6,21,male,3,20140121,20170930
112,221,484,yYP0aS8f6NtuzQv0B/2bOTDZPLQnKOAshwspTOAZJlk=,4,27,female,9,20130203,20180518
113,222,487,yogEoReXj7MJSTRhtuBNKyUaaT9homd7Phdf0yujUQc=,22,23,male,4,20151226,20170808
114,223,489,rTbwIzDDVa3YvE6SxFQ4XcGnhiBz31W55D7SVsKJiik=,13,21,female,3,20150714,20170907
115,227,496,Fb19TLj6c6OstxRyXBkOvZSmeMffS/t+M6/MOJsmRQ0=,15,24,male,3,20130228,20170911
116,230,502,WduRpdKg4BQ6gEe4hg2bJUyA7GkSJbsdz6P4Tlm4iSI=,15,28,female,9,20111112,20171020
117,232,504,EZ32Q9QHUvVSn+VhykE13zYBqki73C+MEZzEI/o7Hko=,13,20,male,3,20130629,20170911
118,233,505,FIvg9lp7fMxKmWSFpeOyF1ZsSbFpu+PR4iouZqTbTU4=,4,22,female,3,20130623,20180102
119,234,506,6VuYFhrplZVx9P+/gjKLEgdx5yYStmbjjc4nBEtn+Us=,10,18,male,9,20110329,20170806
120,236,508,Ufho24mPQgcrBD/6869RfeQjTSmSb/rtBocSETm+Bdo=,13,27,female,9,20090424,20170930
121,237,509,4CHHkW9auIrJ2LbjEVCkxRhwptKAmgthCXXNDnJvF7s=,5,25,male,9,20111127,20170718
122,240,514,WNOxasdyszmmWsE4YgpxbNUmkWcDnR/jl2hzIsQZtSQ=,22,26,male,9,20150305,20171116
123,241,519,peO68YRppADufdMHTzagDswzeHjsof+W5DE595fpg1s=,5,19,male,3,20140809,20170718
124,242,520,8pMtB66EVpma8b7N84o/U8RDYw9y+A8TWXD+NPy8Fd8=,15,21,male,9,20130423,20170904
125,244,524,yM5j0PzwzE3kjlydsTKe+29D5cDjJYPqXpy0PRrG8KM=,4,26,male,7,20131204,20170920
126,247,529,TJ1sVdTkwAYK2c42vtNLdg5uhGs+C87EztJZyuM2R6E=,15,22,female,9,20110608,20170812
127,248,532,teASoPuN4fSjA0qx4VLqzTfs0T1utrSHlApsKHcdJDA=,8,21,female,9,20140913,20170803
128,250,544,M0nk0XmAVj8NoS7GCw1GQUoCIiMZV8b7ZZx21NhhrWo=,14,26,male,9,20101118,20171020
129,251,545,Ep+0Nbz9hwpjdLtgToHjjYNWZ2Yg94r0gyoAt2AZFZc=,13,25,male,9,20150820,20170918
130,252,546,OSJKAq0he1kfChPwSGOdVzKqiPYjeqHrjvRSK3+cHZ8=,9,26,female,4,20160110,20170609
131,253,548,XQNZyvHNVoeouZTfOITAXZvs/z02a8fFNmcdsog7j3U=,4,25,male,9,20070530,20170930
132,254,549,VWFXZYmYxm1iTsYv5AbpwhA3vRF8g9GhpsAAhyM/KZM=,22,19,male,3,20120721,20171004
133,255,550,HnC1uEm0kssyqF/NbBeupXSjZyl8l+TR7PCgAmex1jU=,11,24,male,9,20110821,20170916
134,258,554,5UxxKB4Y6BNHmdggEgd/Uq2gR4YLeRvFNLRp2MgSkU0=,4,25,male,9,20110215,20170918
135,260,558,L1tOhpoNmd8Uva+R8bWlJFBuBVmyJdzG3VaSNs0Khck=,4,24,female,9,20070317,20171001
138,269,576,6xBMiheXaVGwmNH2cZe03EBvIma0r/vJ2A43S/OYncg=,12,26,male,9,20091205,20171007
139,272,584,Vws8bNFbMLrS3d2XFSGZrMLPUi8rQjviVDfbv959qMI=,10,24,male,9,20130130,20171120
140,273,587,lo8IjPOifLMPJfivhCblJsWkeA9dcgQZYAbfg6uV4kA=,13,28,female,7,20120813,20170917
141,274,589,liQlBFoxYy5vIvPO9UGdE0XSN3tEhjAMmFay65FtvGs=,5,23,female,9,20110924,20171122
143,277,597,4Y9Tp/fYcONhfE62UUdV/KMtBwg1E0b6fWEZl9kXwkU=,13,26,female,9,20160905,20170617
144,278,601,2TPc6VVjDRv+rUAFZp+Fz/SxsX1klrSBl7HXobrtp1E=,14,27,male,9,20110101,20170302
145,279,602,quKx+v+fVOOoULJGYb8hZ9cU+jxgMO2afVcBy3slVNo=,5,21,male,9,20110611,20180422
146,280,603,dUI1Hes7tEqGNIj/BuIMx1k8Kfiu+/QPwOsW4oEhczw=,21,23,male,3,20150916,20170923
148,284,612,fHwJYVqvkAPptzsQPCPwb4kkpqcFWwiII5+LvM4NoAM=,13,24,female,7,20121027,20171006
149,287,620,rC4TB72WleDaEGiW4TWFrmNBQVvmrAQ99LrVe1wOo5U=,13,24,male,9,20110824,20171010
150,288,621,UhQAhbNQIBcuvveSmEjKKjta0CImW0ZRmgtqKPqkg0U=,13,25,female,9,20080315,20181001
151,289,623,le00ECAkJW1Dr+fnExmA5AoQs5XyTgVUYufn7MtMJiw=,13,19,female,4,20151107,20171201
152,290,627,OaxpaYYS8OTcnPo7Wh4wXEQJbIsrf8YGShFmzxEubpg=,1,18,male,4,20151021,20151027
153,292,629,MHFl6qcNYCDtbZfutQ/OJE1Iw699cbRJKJz7ct3+kW8=,4,24,female,9,20080601,20171208
154,298,639,l1iZ+IEGcrSv7LxJ7m8sZpPEDo1Z/AjtjoC9mzaZPys=,15,20,female,3,20120114,20190309
155,301,647,tcQVTXB2yu6VD1MZV2DXlMo3VtxAYlK2B/X5w1xqyic=,5,24,male,9,20051023,20170614
156,302,648,9xkPdOzQFV4YXG5an+h103IBRy6CUb1+pzlIMVXKMV0=,22,25,female,9,20110515,20170901
157,303,653,U/sS4gPhWzykQZfcaiZgNcViEbnQAkrI7vMk0PnCJLc=,13,22,female,9,20111118,20171026
158,305,658,UGX+2jh3WO5XRuVOPuPCiIetzHlBjh0DPOLPeJSe36E=,13,27,female,3,20150116,20170930
159,307,660,oxhcK2JeI2nojnZ6ilsoIfs0dGchOnFga1F7qSaBYMY=,1,22,male,3,20161027,20161124
160,308,661,9rCr7Jvk+xx4yPyqoXHISPBN7T9Dxgajlu+ab8JL8Qw=,4,27,male,9,20100511,20171003
161,310,670,Nv6bmZWT0VkL+Dzt3o0X2+djgx4MpWaYdsw4yNZIUWw=,22,20,male,9,20150508,20180203
162,311,673,P2HXGyENSC2vlt3d/uHw+5OTIVE2aMTjYp28FdgVUf4=,22,19,male,3,20161227,20161230
163,315,679,IJr/TeHysqF+QvKNlnffiSg8O37KdlC6UJfi22o+KW0=,14,26,female,3,20140227,20171004
164,316,684,ZgcpnhSi72XWaZHy1iGk3C6p0vGrvCr1A4mG6L7Fy8Y=,5,24,male,3,20120813,20171029
165,318,687,MDrUDVHm0USVZ1M3ZueCNyf93VMT9wn0RYR3AOS9Ayw=,4,25,female,9,20070117,20170930
168,325,703,D3Iln3a2rXnZP0hvSjwGwOb/NfuoKzxYmy5vUZEhJog=,5,20,female,9,20100201,20180519
169,330,717,GBzPES6JKIDtBk5cPqAA8OFsH6xaylYGMcThgEQqB48=,15,27,male,9,20110824,20171010
170,332,721,gYMjvgzS4AQkJnWYFEJU1R5eNJhkaTik/mqf2Ixjo0Y=,22,20,male,4,20160114,20181019
171,335,735,09K0sDPnVcFS5qrg/Jv02XWyFf8bq439i5a9wmq3jSk=,21,25,male,7,20110831,20170920
172,338,739,jQF51DjKocXbxJcVm2alVd0g8iKsmfZGGmpjQIwFR7s=,15,25,male,3,20150226,20170914
173,340,743,YQiox2a4tbRbNBaL+VfOLH8oea77HPJMPWRh8euXZqM=,13,20,male,3,20120523,20180523
176,344,751,hQRlHIBRA9LLynse06YPVMoKHd6vGD3nREcILcXUk6A=,4,27,female,3,20160601,20170719
177,345,752,lZTQ2qyb3VDej8DhfcdoGDzqDU81ZH8P4pkbfrxQiXA=,22,27,male,9,20040912,20170715
178,347,756,9WZ0kKejXv15wlaSDr2CyguJHZ56S+eRJqdL0KrIkc8=,15,27,male,9,20140927,20170816
179,348,760,J9gcUbswkORFy2j/ACO/gkC8gsiEKgzQGMqfX8RgbII=,1,22,male,4,20161207,20170117
180,349,761,3DMxQOAHrzRPtENG3IRR8sZR4vx/us+RQiPMNVw8biw=,8,21,female,9,20070430,20180205
181,353,768,/biQasg7SuwsC+wbmS//sq+iCwmILa4ih81qceIwXfM=,9,26,male,7,20140706,20170930
182,354,769,/Tolfn146MPQmc3AcTklWL//bvWjni/5pojNpabHyHU=,12,27,male,9,20131015,20170914
183,356,776,xj6rajUl02+6t3/AFBJkFUL9w2z+dKpWCnEWVx/p144=,3,28,male,7,20120111,20171006
184,358,781,g7ku6P40XCR/yiZ/KK9EQZNoblFIFSUtaocG6ZJTYdM=,22,27,female,4,20160229,20171001
185,360,788,ZSGZjr2WItyAO3GPA3Q4PMAgxXV3w+2CjG6W997KGrY=,4,19,female,3,20141106,20180122
186,364,794,iGYV+xXFiwY73rvYvho4zEi+TYy6C3qHIgYEbGw5qs0=,4,27,male,9,20100101,20170930
188,366,799,IxtJTJmxOAx3G7BbP3Bm8D1jxLnKn1IARY8HHPGh0YI=,22,26,male,3,20150112,20170224
189,367,800,kqC1f3fHKpuYlohtpVFjr29PS+0z3JnlgQ6KEwJX+hE=,5,22,male,4,20160421,20170920
191,370,806,aNuaRb3Kn3TFhdwkkwTESnd9zf6zwdSZLFovc6v/lJ4=,6,23,male,4,20160214,20171020
192,371,808,EMGLiV0LkhHHHnAudTs8UgLbcd2e+flHDBYHfMnYwKY=,11,22,female,9,20070318,20170611
193,372,814,EoKXX0Y96LTMGXF2bc7tok8R+csgoNUmqZx9lSDykBQ=,8,26,female,3,20150118,20180531
194,374,818,DIkkCsQiSIz/VINZSKvRW8kMYt8+0G2UR5a8eJYHC4E=,13,21,female,9,20160425,20180916
195,375,819,jdg8Ny/7F7+SWMhbfx3ElGiJ5hYle9I7Mx9TyqWoJl0=,22,19,female,3,20130328,20171002
196,379,828,VqGf7pPcWPtxznehCiKi8OgJ3TXSKdBsIuKFHnQTsOI=,5,27,female,9,20081008,20170917
197,382,838,Njaf6CU8NcFwbSDUP7Ml0qGp0wpQVWY6eeGyi4jMA+g=,22,18,female,9,20110705,20170930
198,384,840,7krttWAS6BVAKJffRYeXq3pNI+oHYTR0po/xQERSnZM=,14,20,male,9,20160327,20170924
199,387,852,Xa3JBcbS5XVGskl00v7BJ7BTcL/TqA85JG53y9xd9k4=,6,27,male,3,20140717,20170924
200,389,855,IW9jAA0252BfsC4RmdFUgTfFQ/y5ELrjj5iskBQXss4=,4,24,female,9,20051001,20170710
201,390,857,LT1sZg5wZkyQMDOgsJruYo2HocSTTRpiKtDksWOVYnU=,17,24,male,9,20071209,20170816
202,392,860,OucMPB66vqcmmyVyoB107E2JnPTjRZGqjTC7hresLdQ=,5,26,female,9,20101126,20171010
204,397,866,IHgYwzftNvPgiGNAYV3R+eQ/IdbXSHhXE5gRIi2Gr4o=,4,27,male,3,20120624,20170825
206,402,878,W2n10m07mYchX+w9rhZlZlBV9/z509gNI5DtiJMXJxk=,13,21,female,9,20091026,20170915
207,403,880,jWrg65Ox9D4zBVJWpKb+yqaR2fyHOpZx5QMZXwEMdUI=,13,20,male,9,20110521,20171007
208,406,884,EDtYgLwQRLNdLQ9ENKO4OQeEKXX/ZPNy8tWZXvT/hUY=,5,19,male,3,20130616,20170910
210,410,889,yj33onrZxVTwBc/Z90JdtMiT9IP4ip7gh9+afzyCn9g=,13,23,female,9,20100722,20171002
211,411,892,fkqVzdTWU6WBDdtyZ+D/weeUDbGKavB9vLE9X7T43gw=,6,24,female,9,20130319,20170925
214,417,915,Cjt6e7JL6kF7Rn5dOFo9qCuHCCr/VFxAF98tvTPXzuU=,15,20,female,3,20150731,20170328
216,419,918,hauvc8mYmsMAyYOBkspuc6spHybD/8VBPKPudUQG/Bc=,22,27,male,9,20040808,20171015
217,426,936,uq7UPIr+9ty7+QRDsv2RlK24L6+TIPNNa3knPCFSIkI=,5,21,male,3,20150511,20170917
218,429,952,eTIdJcPJalMY2eOSC5b5ywS7ESoe9blmUNzXw2Ho7QY=,13,25,male,9,20100704,20170930
219,431,955,uIACnAD+y16u2/0eOIA761qwg8gk9N8AKwXKvxnnTpA=,13,26,female,3,20141214,20171217
220,433,957,AOBgvUZD+cZzFbThk/d0NFmisCuB7jzoWrN8iTMc82U=,3,20,female,9,20121027,20170908
221,435,960,ZosCTA9EIbcDOYuVHMZf0aTGQFdXZZElt9QT1lumprs=,5,25,male,9,20161119,20180224
222,436,964,47U9pg+hnKlX/WmguDQf++mhIIEBGOFdp1dZ+jIzRMo=,15,23,male,3,20120615,20170922
223,437,966,/Nz/uvA92Rygh4hY9t5jrMGTyksNay051UCEHS6bVQE=,13,26,male,9,20120823,20171007
225,440,969,wobMEyGx2iCkFu27/HPRJIky3S8tO/rS8Rr+tsvEe0k=,4,23,female,3,20120520,20171005
226,443,972,YqtKhiDOFJ/gdd2V4AFdnVwGMMaA0yUEbb8w7xuoP7I=,5,23,female,9,20141223,20171012
227,446,976,fMiUBSS4a13XN9T5OEQ/zpZsiBW5iUiGrgYoibc1oSM=,8,18,male,7,20160625,20170930
229,451,992,OURJse9qwtJgajz0rBagq6fvp02Er9TZF9Spa8+BacA=,5,20,female,3,20140615,20171021
230,453,1001,PxgzaQqbPswbpGOV7Niez+sE2sQ7xxSyNFoDmImdcBA=,13,27,female,3,20140808,20150520
231,457,1005,SpzYM591UsvVUe8EAMKaeYCjbkuMQbFfoMnqDhfpkgY=,8,18,male,3,20141110,20170105
233,463,1011,gkA7meashAUAwjXfzZ9Dj3B4B1JdrGIL74LNeTDStio=,6,25,male,9,20111017,20180727
234,465,1016,s3zHg5gvDh26sEyLiGPOBd+F23i8tn9S9UfUOWYln70=,22,25,male,9,20100927,20170614
236,471,1028,lUDGj8mKwj3Ljq5u2OY2qeba6+yxndCo8HokYQYIqCo=,15,20,male,9,20150628,20170225
237,472,1029,iRBSkI2GDUU9aQ5W5+TfIZ9DLHAAQJNoqm4peHu4NvU=,15,23,female,4,20151107,20151128
239,478,1039,S1IuxqK/qhwhPVNKFjJRUBn5ADtYO4ie5vTiDjE+RXQ=,6,28,female,9,20140406,20170912
240,483,1048,BuTEA8PE4X2ba1j408PqbIDYf1XiqByI9EQTn0SurcE=,15,28,male,3,20120903,20170711
241,489,1057,m+e1egs/9lWlLAcffetc5h1CrkOHW4A1xhJpYA2k7cw=,5,25,female,7,20110811,20180521
242,490,1058,d/0HcOBC7Jr4A9hrFUrvscow97uMpavohGzyihe3qjg=,13,22,male,9,20110626,20170930
243,491,1060,QUD+QLfXNFDn0hGPQDld+o/8AuusLW5A79kiRuxc57Q=,21,27,male,7,20160331,20170930
244,494,1065,HA4g/Zm+hj21nPbvdWNNhhTqtSryL6vp8UZfRXdgIbs=,18,26,female,9,20110131,20180310
245,497,1071,TqwwsCMqR3AYWYnwmBvdz+ssZSppZH4IUzUobTILoCg=,8,27,male,9,20051117,20171006
246,498,1074,x77WBdp+KGE9tVX20TrjKHs7lB0MyUgqGvDq/VADT0o=,3,21,male,3,20150612,20170828
247,500,1079,9pSCZKws523TGIqrhlhEThmja+LZSEmyiXBd2UoB7lk=,14,26,male,9,20110529,20180307
248,503,1082,zsE0k3nRsiZ5QZoFigPkhkhg/2qD0Oed1RkqTB5pfro=,18,23,male,9,20140422,20171023
249,504,1083,Q3LJkGP72SJdNeu/wthB5jEsQmosH6s7o4qtcaiSKmc=,4,27,male,9,20060922,20171002
251,512,1107,Bkc+YXmyKekqToY040sOp2ZfXvMYaRNFB7ZoMAXiKiQ=,15,22,male,4,20160811,20171019
252,517,1115,6PYU6FHjMBvTx7Gd6VPY9DpxouZV50aV0k8x/qL5CfI=,5,22,female,3,20151206,20170708
253,523,1127,1h+JiIhVSZznOtFYTQl+l+OjoupO0QXV1sYoJVkH1e4=,13,26,male,9,20110119,20171001
254,524,1137,ngqupm+stNsl6kFh8vNXQ6Mq7ZIgenSuZCOmDyX0OZo=,22,28,female,9,20111027,20171005
256,529,1144,L9zh+TXRTRMUo7GFz1LxKOjwrj//qVTaU6URDqpl29g=,5,27,female,3,20150912,20170812
257,530,1147,tQdPgAoNxhYtWFqQcqqdWOEFJpxIbLb+OS1aTTRHXaY=,4,24,male,3,20130802,20180307
258,531,1151,/6oQfMalQ/1SWl0mhx5opnih3CgK4Rszpf7lcy8SOTY=,13,24,male,9,20141225,20170925
259,532,1157,iAGMo6SuHukbGEHPBSD+3pqI+Bx2J43vXRn08lE4kxk=,4,25,female,7,20110324,20171004
