,0
476,' Brian Collins'
477,' Brian Eno'
478,' Brian Fallon'
479,' Brian Fennell'
480,' Brian Garcia'
481,' Brian Higgins'
482,' Brian Holland'
483,' Brian Kennedy Seals'
484,' Brian Kennedy'
485,' Brian Kierulf'
486,' Brian Lee'
487,' Brian May'
488,' Brian McFadden'
489,' Brian McKnight'
490,' Brian Potter'
491,' Brian Stanley'
492,' Brian T. Littrell'
493,' Brian Todd Collins'
494,' Bridgette Amofah'
495,' Brince Elam'
496,' Brittany Coney'
497,' Brittany Hazzard'
498,' Brittany Talia Hazzard'
499,' Brock Walsh'
500,' Brockert'
501,' Bronwyn Griffin'
502,' Brooks'
503,' Bruce Fielder'
504,' Bruce Gaitsch'
505,' Bruce Smith'
506,' Bruce Sudano'
507,' Bruno Damas'
508,' Bruno Dandrimont'
509,' Bruno Mars'
510,' Bryan Cox'
511,' Bryan David Vig'
512,' Bryan Higgins'
513,' Bryan Michael Cox'
514,' Bryan Nelson'
515,' Bryan Sammis'
516,' Bryan Simmons'
517,' Bryan Van Mierlo'
518,' Bryan-Michael Cox'
519,' Bryshere Y. Gray'
520,' Bryson Tiller'
521,' Buddy Buie'
522,' Butch Walker'
523,' C David'
524,"' C. ""Tricky"" Stewart'"
525,' C. Aguilera'
526,' C. Berman'
527,' C. Blackmon'
528,' C. Bridges'
529,' C. Broadus'
530,' C. Brown'
531,' C. Dore'
532,' C. Fox'
533,' C. Grieco'
534,' C. Karlsson'
535,' C. Lauper'
536,' C. Morrison'
537,' C. Nelson'
538,' C. Parkes'
539,' C. Rooney'
540,' C. Sager'
541,' C. Smart'
542,' C. Smith'
543,' C. Speir'
544,' CHRISTOPHER HAMLYN'
545,' CHRISTOPHER JAMES LEE'
546,' Cadence'
547,' Cainon Lamb'
548,' Caitlin Smith'
549,' Caleb Nordelus'
550,' Calesha Murray'
551,' Calvin Broadus'
552,' Calvin Puckett'
553,' Calvin Richardson'
554,' Camaron Ochs'
555,' Cameron Forbes'
556,' Cameron Gipp'
557,' Cameron Jabril Thomaz'
558,' Cameron Jibril Thomaz'
559,' Cameron Thomaz'
560,' Camilla Brink'
561,' Camille Purcell'
562,' Candice Nelson'
563,' Candy De Rouge'
564,' Carl Anthony Falk'
565,' Carl Falk'
566,' Carl McIntosh'
567,' Carl Ryden'
568,' Carl Sigman'
569,' Carl Stephenson.'
570,' Carla Marie Williams'
571,' Carla Williams'
572,' Carlo Montagnese'
573,' Carlos McKinney'
574,' Carlos Pena'
575,' Carlos Peralta'
576,' Carlton Mahone'
577,' Carlton Mays'
578,' Carly Rae Jepsen'
579,' Carmine Appice'
580,' Carnie Wilson'
581,' Carole Bayer Sager'
582,' Caroline Corr'
583,' Carrick Moore Gerety'
584,' Carrol Washington'
585,' Carsten Shack'
586,' Cary Barlowe'
587,' Cary Gilbert'
588,' Casey Brown'
589,' Cass Lowe'
590,' Cassie Ventura'
591,' Catherine Ward Thomas'
592,' Cathy Dennis'
593,' Cato Sundberg'
594,' Catt Gravitt'
595,' Cecil Womack'
596,' Cedric Hailey'
597,' Cedric Munch'
598,' Ch. Ricanek'
599,' Chad Butler'
600,' Chad Elliot'
601,' Chad Hugo'
602,' Chad Kroeger'
603,' Chad Roper'
604,' Chad Smith'
605,' Chad Vaccarino'
606,' Chad Wolf'
607,' Chairman'
608,"' Chan Kin Fai""'"
609,' Chan Kin Fai'
610,' Chancellor Bennett'
611,' Chantal Kreviazuk'
612,' Charlee Sara Nyman'
613,' Charles Fox'
614,' Charles Harmon'
615,' Charles Hilton'
616,' Charles Jackson'
617,' Charles Miller'
618,' Charles Mitchell'
619,' Charles Njapa'
620,' Charles Roane'
621,' Charles Scruggs'
622,' Charles Singleton'
623,' Charles Stepney'
624,' Charles Still'
625,' Charles T. Harmon'
626,' Charles Thompson'
627,' Charley Greenberg'
628,' Charlie Babie'
629,' Charlie Bates'
630,' Charlie Gambetta'
631,' Charlie Mason'
632,' Charlie Midnight'
633,' Charlie Peacock'
634,' Charlie Puth'
635,' Charlie Williams'
636,' Charlotte Hatherley'
637,' Chauncey Hollis'
638,' Chaz Jackson'
639,' Chelcee Grimes'
640,' Cheryl Cook'
641,' Chiara Ferraú'
642,' Chidera Anamege'
643,' Chikara ＇＇Ricky＇＇ Hazama'
644,' Cho Gyucheon'
645,' Choe Cheolho'
646,' Choi JaeMan'
647,' Choi Jin Seok'
648,' Choi Sung Ho'
649,' Chris Absolam'
650,' Chris Braide'
651,' Chris Carmouche'
652,' Chris DeStefano'
653,' Chris DuBois'
654,' Chris E. Martin'
655,' Chris Gelbuda'
656,' Chris Jones'
657,' Chris Keup'
658,' Chris Lake'
659,' Chris Lindsey'
660,' Chris Martin'
661,' Chris Robinson'
662,' Chris Rojas'
663,' Chris Sclafani'
664,' Chris Stein'
665,' Chris Thile'
666,' Chris Tompkins'
667,' Chris Zasche'
668,"' Christian ""Crada"" Kalla'"
669,' Christian Beat Hirt'
670,' Christian Deon Dean'
671,' Christian Eigner'
672,' Christian Jones'
673,' Christian Karlsson'
674,' Christian Lauofo'
675,' Christian Mena'
676,' Christian Ward'
677,' Christina Aguilera'
678,' Christina Milian'
679,' Christoph Bauss'
680,' Christopher Braide'
681,' Christopher Bridges'
682,' Christopher Dotson'
683,' Christopher Featherstone'
684,' Christopher Frantz'
685,' Christopher Gholson'
686,' Christopher Goldsmith'
687,' Christopher Heath'
688,' Christopher J. Baran'
689,' Christopher Rios'
690,' Christopher Rojas'
691,' Christopher Smith'
692,' Christopher Sorensen'
693,' Christopher Stewart'
694,' Christopher Wallace'
695,' Chuck Butler'
696,' Chuck D'
697,' Chyna Royal'
698,' Chynna Phillips'
699,' Cian Ciaran'
700,' Ciara Harris'
701,' Cisco Adler'
702,' Civilla Martin'
703,' Claire Boucher'
704,' Clarence Coffee Jr.'
705,' Clarence Coffee'
706,' Clarence Lazar Gray'
707,' Clarence Montgomery'
708,' Claude Kelly'
709,' Claude Michel Schonberg'
710,' Claudio Simonetti'
711,' Clay Cook'
712,' Clayde'
713,' Claydes Smith'
714,' Clayton Reilly'
715,' Clemm Rishad'
716,' Clenton Gosberry'
717,' Cleo Tighe'
718,' Cleon Jones'
719,' Cleveland Horne'
720,' Clif Magness'
721,' Cliff Coenraad'
722,' Clifford Harris Jr.'
723,' Clifford Harris'
724,' Clifford Smith'
725,' Clifton Dillon'
726,' Clifton Lighty'
727,' Cláudia Leitte'
728,' Co'
729,' Cody Williams'
730,' Cole Porter'
731,' Colin Norman'
732,' Cool Cat'
733,' Corey Crowder'
734,' Corey Taylor'
735,' Corey Woods'
736,' Cornell Haynes'
737,' Cornell Iral'
738,' Cornell Wells'
739,' Cory McKay'
740,' Cory Rooney'
741,' Cosmic Girl'
742,' Cosmic Sound'
743,' Cosmos'
744,' Coy Bowles'
745,' Coyle Girelli'
746,' Craig Brockman'
747,' Craig Mabbitt'
748,' Craig McFarlane'
749,' Craig Ross'
750,' Crispin Hunt'
751,' Cristhian Mena'
752,' Crystal Johnson'
753,' Curt Frasca'
754,' Curtis Mayfield'
755,' Curtis Richardson'
756,' Curtis Samuel'
757,' Cynthia Lissette'
758,' Cynthia Loving'
759,' Cynthia Weil'
760,' César Gonin'
761,' D. Baker'
762,' D. Brunner'
763,' D. Canu'
764,' D. Carter'
765,' D. Ezrin'
766,' D. Harris'
767,' D. Jones'
768,' D. Lerdal'
769,' D. Ritz'
770,' D. Salole'
771,' D. Siegel'
772,' D. Smid'
773,' D. Snider'
774,' D. Taylor'
775,' D.V Shearman'
776,' DJ NAOTHELAIZA'
777,' DOKO'
778,' Da Kyung Lee'
779,' Dafydd Ieuan'
780,' Dag Holtan-Hartwig.'
781,' Dag Lundberg'
782,' Dajuan Walker'
783,' Dallas Koehlke'
784,' Damas Bruno'
785,' Damian Whitty'
786,' Damien Jurado'
787,' Damon Sharpe'
788,' Damon Thomas'
789,' Dan Balan'
790,' Dan Bryer'
791,' Dan Burns'
792,' Dan Carey'
793,' Dan Muckala'
794,' Dan Romer'
795,' Dan Shea'
796,' Dan Smith'
797,' Dan Talevski'
798,' Dan Traynor'
799,' Dan Wilson'
800,' Dana Al Fardan'
801,' Dana Owens'
802,' Dana Stinson'
803,' Dane Bowers'
804,' Dani Davey (Dani Filth)'
805,' Daniel Boyle'
806,' Daniel Bryer'
807,' Daniel Chae'
808,' Daniel Davidsen'
809,' Daniel Denholm'
810,' Daniel González'
811,' Daniel Großmann'
812,' Daniel Hämmerle'
813,' Daniel James Talevski'
814,' Daniel Jones'
815,' Daniel Ledinsky'
816,' Daniel Merriweather'
817,' Daniel Murcia'
818,' Daniel Nigro'
819,' Daniel Priddy'
820,' Daniel Rothman'
821,' Daniel Seeff'
822,' Daniel Tannenbaum'
823,' Daniel Tenaglia'
824,' Daniel Thomas Omelio'
825,' Daniel Wayne'
826,' Daniele Autore'
827,' Danilo Ercole'
828,' Danilo Pao'
829,' Danjahandz'
830,' Dann Gallucci'
831,' Dann Hume'
832,' Danny Majic'
833,' Danny Mezquita'
834,' Danny Parker'
835,' Danny Schofield'
836,' Danny Whitten'
837,' Danny Williams'
838,' Dany Synthé'
839,' Daouda Leonard'
840,' Dapo Torimiro'
841,' Darhyl Camper'
842,' Darius Barnes'
843,' Darius Ford'
844,' Darius Logan'
845,' Darko'
846,' Darold Brown'
847,' Darrell Brown'
848,' Darren Lewis'
849,' Darren Lighty'
850,' Darryl Hill'
851,' Darryl Simmons'
852,' Darryl Swann'
853,' Daryl Hall'
854,' Dave Atkinson'
855,' Dave Aude'
856,' Dave Bartholomew'
857,' Dave Bassett'
858,' Dave Chavarri'
859,' Dave Evans'
860,' Dave Gahan'
861,' Dave Hall'
862,' Dave Katz'
863,' Dave Keuning'
864,' Dave Kuncio'
865,' Dave Kushner'
866,' Dave McClain'
867,' Dave McCracken'
868,' Dave Merenda'
869,' Dave Pybus'
870,' Dave Rosser'
871,' Dave Roth'
872,' Dave Taylor'
873,' Dave Tozer'
874,' Dave Welsh'
875,' Daveon Jackson'
876,' David Anderson'
877,' David Anthony'
878,' David Bengt Kreuger'
879,' David Blake'
880,' David Bowie'
881,' David Bronner'
882,' David Colquit'
883,' David D.A. Doman'
884,' David Dalton'
885,' David Donaldson'
886,' David Etherington'
887,' David Ewing'
888,' David Faisques'
889,' David Foreman'
890,' David Foster'
891,' David Frank'
892,' David Gamson'
893,' David Gilmour'
894,' David Ginyard'
895,' David Guetta'
896,' David Guy'
897,' David Hall'
898,' David Hodges'
899,' David J'
900,' David Jassy'
901,' David Jürgens'
902,' David Kahne'
903,' David Keith Bentley'
904,' David Kreuger'
905,' David L. Doman'
906,' David Long'
907,' David Macias'
908,' David Malin'
909,' David McCabe'
910,' David McPherson'
911,' David Musumeci'
912,' David Nagy'
913,' David Porter'
914,' David Quinones'
915,' David Roback'
916,' David Sardy'
917,' David Silva Fernández'
918,' David Spencer'
919,' David Styles'
920,' David Summers'
921,' David Tench'
922,' David W. Foster'
923,' David Welsh'
924,' David Wilder'
925,' David Wolinski'
926,' David Zippel'
927,' David Österle'
928,' Davor Vulama'
929,' Dawoon Jung'
930,' Daystar Peterson'
931,' DeAndre Way'
932,' Dean Back'
933,' Dean Josiah'
934,' Deangelo Holmes'
935,' Debbie French'
936,' Deborah Carter'
937,' Deja Trimble'
938,' Deke Richards'
939,' Del Newman'
940,' Demba Conta'
941,' Denarius Motes'
942,' Denis Ingoldsby'
943,' Denis Lebouvier'
944,' Denise Rich'
945,' Denisia Andrews'
946,' Dennis Andersson'
947,' Dennis Bierbrodt'
948,' Dennis Coles'
949,' Dennis Lambert'
950,' Dennis Thomas'
951,' Denny Laine'
952,' Denny Randell'
953,' Denny White'
954,' Denzel Flexington'
955,' Denzil Foster'
956,' Derek McDonald'
957,"' Dernst ""D\'Mile"" Emile II'"
958,' Dernst Emile II'
959,' Derrick Beck'
960,' Derrin Townsend'
961,' Desmond Barnes'
962,' Destin Reza Mungall'
963,' Devon Golder'
964,' Dewain Whitmore'
965,' Dexter Mills'
966,' Dexter Tortoriello'
967,' Diane Warren'
968,' Diarra Wilkerson'
969,' Dick Smith'
970,' Dido'
971,' Didrik Thott'
972,' Dieuson Octave'
973,' Diggy Simmons'
974,' Dijon McFarlane'
975,' Dimitri Rogers'
976,' Dimitri Vangelis'
977,' Dinah Jane Hansen'
978,' Dino Cazares'
979,' Dino Fekaris'
980,' Diogo Vianna'
981,' Dion Derek Murdock'
982,' Dion Howell'
983,' Diplo'
984,' Dirk Reichardt'
985,' Dominic Jordan'
986,' Dominic King'
987,' Dominic Major'
988,' Dominic Miller'
989,' Dominique Droin'
990,' Dominique Logan'
991,' Don Gilmore'
992,' Don Kelly'
993,' Donald Davis'
994,' Donald Degrate'
995,' Donald Markowitz'
996,' Donald Mclean'
997,' Donald Robinson'
998,' Donameche Jackson'
999,' Donquez Woods'
1000,' Doro Pesch'
1001,' Dorothy Fields'
1002,' Dorrell Mays'
1003,' Dot Major'
1004,' Doug E. Fresh'
1005,' Doug James'
1006,' Douglas Cuomo'
1007,' Douglas Davis'
1008,' Douglas Elwin Erickson'
1009,' Dr. Dre'
1010,' Drew Lawrence'
1011,' Drew Ryan Scott'
1012,' Dru Castro'
1013,' Duane Bridgeford'
1014,' Duane Chin-Quee'
1015,' Duane Harden'
1016,' Duane Hitchings'
1017,' Duff McKagan'
1018,' Duff'
1019,' Durrell Babbs'
1020,' Dwaine Whittmore'
1021,' Dwane Weir'
1022,' Dwayne Carter'
1023,' Dwayne Murchison'
1024,' Dylan Cleary-Krell'
1025,' E. Birdsong'
1026,' E. Dean'
1027,' E. Kidd Bogart'
1028,' E. Lewis'
1029,' E. Lind'
1030,' E. Mastebroek'
1031,' E. Nicholas'
1032,' E. Perez'
1033,' E. Stevens'
1034,' E. Swaray'
1035,' E. Zareski'
1036,' E. del Barrio'
1037,' E.Y. Yarburg'
1038,' ECF'
1039,' ERIC MATTHEW'
1040,' Earl Stevens'
1041,' Ebba Tove Elsa Nilsson'
1042,' Ebenezer Fabiyi'
1043,' Ebony Oshunrinde'
1044,' Ebony S. Williams'
1045,' Ed Drewett'
1046,' Ed Frugé'
1047,' Ed Sheeran'
1048,' Ed Townsend'
1049,' Ed. Roland &Ross'
1050,' Eddie Galan'
1051,' Eddie Holland Jr.'
1052,' Eddie Holman'
1053,' Eddie Jordan'
1054,' Eddie Pola'
1055,' Eddy Quintela'
1056,' Edgar Meyer'
1057,' Edie Brickell'
1058,' Edsel Alexander'
1059,' Eduardo Cabra'
1060,' Eduardo López'
1061,' Eduardo Reyes'
1062,' Edvard Erfjord'
1063,' Edvard Førre Erfjord'
1064,' Edward Drewett'
1065,' Edward Griffin'
1066,' Edward Hokenson'
1067,' Edward Levert'
1068,' Edward Robinson'
1069,' Edwin Perez'
1070,' Edwin Serrano'
1071,' Eg White'
1072,' Elan Luz Rivera'
1073,' Eli Maiman'
1074,' Eliezer García'
1075,' Elif Demirezer'
1076,' Eliot Kennedy'
1077,' Elizabeth Page Getz'
1078,' Ellie Greenwich'
1079,' Elliot Bergman'
1080,' Elliot Wolff'
1081,' Elliott Wheeler'
1082,' Elliott'
1083,' Ellis Williams'
1084,' Elton John'
1085,' Emanuel Kiriakou'
1086,' Emanuele Longo'
1087,' Emeli Sandé'
1088,' Emil Schultz'
1089,' Emil Svensson'
